Number, Label, Comment, X, Y, Z, X_Toe, Y_Toe, Z_Toe, Diameter, Length, Subdrilling, Stemming, Burden, Spacing, Angle, Azimuth, WaterLevel, DetonatingTime, GlobalId, DesignCharge, InputedCharge, Row_Number, Detonators, Boosters, PathLetter
246, , , 748788.800, 8930574.080, 209.859, 748788.800, 8930574.080, 199.659, 0.127, 10.200, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 6.000, 12466, 22fc28f9-445a-42c2-82b8-cec00e91a22d, 0.0, 82.800, 0, DVT 15 m :1 ud, , B
247, , , 748791.050, 8930572.140, 210.563, 748791.050, 8930572.140, 199.863, 0.127, 10.700, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 6.000, 12397, b051d3be-fb01-446e-a2e3-ed58e08c15c5, 0.0, 147.900, 0, DVT 15 m :1 ud, , B
248, , , 748793.300, 8930570.200, 210.199, 748793.300, 8930570.200, 199.499, 0.127, 10.700, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 6.000, 12305, 1adf12ce-ce9d-4d79-b198-99f8bafc2828, 0.0, 142.800, 0, DVT 15 m :1 ud, , B
249, , , 748795.550, 8930568.260, 210.048, 748795.550, 8930568.260, 199.748, 0.127, 10.300, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 6.000, 12256, 4fe81138-f203-4ed4-a709-8239d2182218, 0.0, 104.500, 0, DVT 15 m :1 ud, , B
250, , , 748797.800, 8930566.330, 209.996, 748797.800, 8930566.330, 199.396, 0.127, 10.600, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 6.000, 12185, e8910850-9821-4589-abd3-2e4f96291640, 0.0, 122.200, 0, DVT 15 m :1 ud, , B
251, , , 748800.050, 8930564.390, 209.985, 748800.050, 8930564.390, 198.985, 0.127, 11.000, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 12117, 2aeabefb-b905-47fc-b6e6-ac6c082de86c, 0.0, 153.000, 0, DVT 15 m :1 ud, , B
252, , , 748802.300, 8930562.450, 210.038, 748802.300, 8930562.450, 199.838, 0.127, 10.200, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 3.000, 12025, e5e03c72-c482-4608-babb-e0dbfa57cae1, 0.0, 132.100, 0, DVT 15 m :1 ud, , B
253, , , 748804.550, 8930560.510, 209.657, 748804.550, 8930560.510, 200.157, 0.127, 9.500, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 11980, 39ae7d8b-59bd-4ffc-b728-aa877388dc18, 0.0, 112.700, 0, DVT 15 m :1 ud, , B
254, , , 748806.520, 8930558.290, 209.928, 748806.520, 8930558.290, 199.228, 0.127, 10.700, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 11890, 5ca238cd-8086-44e3-a250-a6ca2da63296, 0.0, 121.100, 0, DVT 15 m :1 ud, , B
255, , , 748808.240, 8930555.880, 209.943, 748808.240, 8930555.880, 199.943, 0.127, 10.000, 0.600, 2.200, 0.000, 0.000, 0.0, 0.0, 0.000, 11841, d19af096-1877-4c64-a100-56d6272811e8, 0.0, 129.000, 0, DVT 15 m :1 ud, , B
256, , , 748809.850, 8930553.380, 210.214, 748809.850, 8930553.380, 199.614, 0.127, 10.600, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 11770, 8130160e-1fca-4c24-961b-2c322be36f2a, 0.0, 132.000, 0, DVT 15 m :1 ud, , 
257, , , 748811.450, 8930550.880, 210.490, 748811.450, 8930550.880, 199.890, 0.127, 10.600, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 11700, 7acde152-60b3-4819-b0ba-725a3d551b20, 0.0, 144.200, 0, DVT 15 m :1 ud, , 
258, , , 748813.050, 8930548.380, 210.426, 748813.050, 8930548.380, 199.426, 0.127, 11.000, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 11630, 5e55fc75-2439-4326-92da-181cb17391e4, 0.0, 140.100, 0, DVT 15 m :1 ud, , 
